Rented Bike Count,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Holiday,Functioning Day,DateTime,Seasons_Autumn,Seasons_Spring,Seasons_Summer,Seasons_Winter
254,-1.5139573,-1.0424829,0.45847583,0.9258713,-1.6596047,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 00:00:00,0.0,0.0,0.0,1.0
204,-1.5390742,-0.99337,-0.89256144,0.9258713,-1.6596047,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 01:00:00,0.0,0.0,0.0,1.0
173,-1.5809357,-0.9442571,-0.6995562,0.9258713,-1.6672618,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 02:00:00,0.0,0.0,0.0,1.0
107,-1.5976802,-0.89514416,-0.79605883,0.9258713,-1.6596047,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 03:00:00,0.0,0.0,0.0,1.0
78,-1.5809357,-1.0915958,0.55497843,0.9258713,-1.7361766,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 04:00:00,0.0,0.0,0.0,1.0
100,-1.614425,-1.0424829,-0.21704286,0.9258713,-1.7438338,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 05:00:00,0.0,0.0,0.0,1.0
181,-1.6311694,-1.1407087,-0.41004825,0.9258713,-1.8050913,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 06:00:00,0.0,0.0,0.0,1.0
460,-1.698148,-0.99337,-0.79605883,0.9258713,-1.7897768,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 07:00:00,0.0,0.0,0.0,1.0
930,-1.7148925,-1.0424829,-0.60305345,0.9258713,-1.8280628,-0.6436202,-0.13179988,-0.1718911,False,True,2017-12-01 08:00:00,0.0,0.0,0.0,1.0
490,-1.6227973,-1.5336118,-1.1820695,0.8075017,-2.0271497,-0.39036727,-0.13179988,-0.1718911,False,True,2017-12-01 09:00:00,0.0,0.0,0.0,1.0
339,-1.3716282,-1.6809506,-0.5065508,0.91929525,-1.9352635,0.09311564,-0.13179988,-0.1718911,False,True,2017-12-01 10:00:00,0.0,0.0,0.0,1.0
360,-1.120459,-1.8282893,-0.41004825,0.82065386,-1.8586916,0.4269491,-0.13179988,-0.1718911,False,True,2017-12-01 11:00:00,0.0,0.0,0.0,1.0
449,-0.93626827,-1.7300636,-0.31354555,0.9258713,-1.628976,0.6226446,-0.13179988,-0.1718911,False,True,2017-12-01 12:00:00,0.0,0.0,0.0,1.0
451,-0.8776621,-1.6318377,-0.12054017,0.9258713,-1.5064609,0.680202,-0.13179988,-0.1718911,False,True,2017-12-01 13:00:00,0.0,0.0,0.0,1.0
447,-0.8274283,-1.5827248,0.26547045,0.9258713,-1.4298891,0.5075296,-0.13179988,-0.1718911,False,True,2017-12-01 14:00:00,0.0,0.0,0.0,1.0
463,-0.9027791,-1.0915958,1.4235024,0.9258713,-1.1848589,-0.03351079,-0.13179988,-0.1718911,False,True,2017-12-01 15:00:00,0.0,0.0,0.0,1.0
484,-0.9781298,-0.20756367,2.3885288,-1.0584644,-0.8479427,-0.37885576,-0.13179988,-0.1718911,False,True,2017-12-01 16:00:00,0.0,0.0,0.0,1.0
555,-1.011619,-0.011112073,-0.12054017,0.9258713,-0.80965674,-0.5630397,-0.13179988,-0.1718911,False,True,2017-12-01 17:00:00,0.0,0.0,0.0,1.0
862,-1.0283636,0.38179109,-0.31354555,0.9258713,-0.6947989,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 18:00:00,0.0,0.0,0.0,1.0
600,-1.0785974,0.92203295,-0.02403749,0.9258713,-0.57994115,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 19:00:00,0.0,0.0,0.0,1.0
426,-1.1037143,1.0202588,-0.21704286,0.7828413,-0.57994115,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 20:00:00,0.0,0.0,0.0,1.0
405,-1.1455759,1.1184845,-0.89256144,0.41129214,-0.5875983,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 21:00:00,0.0,0.0,0.0,1.0
398,-1.1539482,1.2167103,-0.21704286,-0.09342292,-0.5722839,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 22:00:00,0.0,0.0,0.0,1.0
323,-1.1874374,1.2658232,-0.6995562,-0.28248557,-0.5875983,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-01 23:00:00,0.0,0.0,0.0,1.0
328,-1.229299,1.4131619,-0.60305345,-0.72801584,-0.5875983,-0.65513176,-0.13179988,-0.1718911,False,True,2017-12-02 00:00:00,0.0,0.0,0.0,1.0
